MonthYear,Year,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Butane_Oil,Suboxone,Fentanyl,Total,Population,Rate
01-2018,2018,67.6,1.81,1324.872,8301.860999999999,1117.1629999999998,0.0,0.0,0.0,10813.31,119828,902.0
02-2018,2018,234.6,0.6,1579.323,2448.614,2393.541,8.4,0.0,0.0,6665.08,119760,557.0
03-2018,2018,6.199999999999998,741.8,1090.3115999999998,7079.928000000001,1896.368,105.76,0.0,0.0,10920.37,120263,908.0
04-2018,2018,18.81,0.48,771.7991000000002,1608.3620000000005,1651.101,93.374,0.0,0.0,4143.93,120119,345.0
05-2018,2018,0.0,16.049999999999994,859.6560000000001,3709.6659999999997,1066.76,23.04,0.0,0.0,5675.17,120720,470.0
06-2018,2018,1.0,0.0,1132.0200000000002,20870.92,2302.16,32.1,0.0,0.0,24338.2,121087,2010.0
07-2018,2018,0.1,0.0,1187.0819999999999,3223.239,1618.823,79.0,0.0,0.0,6108.24,121441,503.0
08-2018,2018,0.4,0.74,1670.1501,1987.738,1096.2669999999996,171.00000000000003,0.0,0.0,4926.3,121794,404.0
09-2018,2018,19.5,0.01,1041.1611,2085.472,1912.5910000000001,76.7,0.0,0.0,5135.43,121601,422.0
10-2018,2018,1.5,0.0,914.9812,2091.6901,1822.6111,36.35,0.0,0.0,4867.13,121248,401.0
11-2018,2018,0.4,43.9,765.0989999999999,3148.85,1293.9931,32.9,0.0,0.0,5285.14,120853,437.0
12-2018,2018,0.0,0.0,1773.0000000000002,3091.4179999999997,1867.791,135.32,0.0,0.0,6867.53,120433,570.0
01-2019,2019,222.59000000000003,63.7,1176.576,3218.2749999999987,1896.918,41.75,6.787000000000001,0.0,6626.6,119704,554.0
02-2019,2019,0.0,0.1,1529.5,1718.6470000000004,845.20461,257.67999999999995,0.0,0.0,4351.13,119582,364.0
03-2019,2019,8.273,0.0,1312.963,2440.234,1752.9640000000006,149.01000000000005,0.0,10.06,5673.5,119974,473.0
04-2019,2019,5.5,1.0,1420.88,3096.663,2359.08,164.48,0.0,5.64,7053.24,120353,586.0
05-2019,2019,1.5,0.1,2241.819,4260.973000000001,3061.512,478.07999999999987,59.547,54.67,10158.2,120036,846.0
06-2019,2019,4.8,28.55,1511.057,2665.9299999999994,3926.554,76.37,116.678,0.26,8330.2,120123,693.0
07-2019,2019,16.0,131.17,1466.806,1441.6411,1382.496,163.15999999999997,31.128,0.0,4632.4,120093,386.0
08-2019,2019,30.6,7.7200000000000015,1545.89,2849.344,1840.0479999999998,579.9,355.47,0.105,7209.08,119977,601.0
09-2019,2019,0.0,0.32,1156.11,3004.618,2150.35,296.19,111.77599999999998,0.14,6719.5,120204,559.0
10-2019,2019,10.89,0.0,883.2019999999999,1501.3259999999998,1024.67,376.49,790.6429999999998,46.26,4633.48,120227,385.0
11-2019,2019,0.0,0.6,1255.712,2602.7990000000004,1133.4260000000004,353.8110000000001,29.25,34.8,5410.4,119880,451.0
12-2019,2019,58.94000000000001,210.11700000000002,1319.323,4107.8409999999985,1790.3829999999998,52.02,32.120000000000005,6.46,7577.2,119572,634.0
01-2020,2020,0.2,52.26,1022.909,4934.765,1702.02,462.32,108.161,0.1,8282.74,119594,693.0
02-2020,2020,0.0,10.5,1987.7580100000002,2655.917,1026.6,118.08,306.65600000000006,15.579999999999998,6121.09,119457,512.0
03-2020,2020,29.0,36.16,1047.44,1404.7399999999998,1241.6730000000002,109.76,49.874,0.72,3919.37,118956,329.0
04-2020,2020,7.42,37.1,1003.835,1822.22,1881.946,82.00000000000001,381.885,131.0,5347.41,114654,466.0
05-2020,2020,79.6,85.0,992.75,2256.0416,1814.8899,123.07,126.01799999999999,35.2,5512.57,113273,487.0
06-2020,2020,29.53,42.1,750.8299999999998,1977.787,1353.89,163.415,754.5609999999998,1.6,5073.71,110553,459.0
07-2020,2020,11.3,16.2,1295.1,3894.192,1771.81,95.93,1138.2429999999995,9.14,8231.92,103615,794.0
08-2020,2020,4.33,1.0,1327.49,12705.51,2642.68,197.02,322.802,0.0,17200.83,99501,1729.0
09-2020,2020,16.32,61.7,922.94,1998.93,2932.563,212.53,126.35,0.0,6271.33,96816,648.0
10-2020,2020,5.12,54.358999999999995,630.46,2429.88,4200.920000000001,170.56,258.048,0.0,7749.35,96421,804.0
11-2020,2020,4.7,5.832999999999999,818.89,3241.17,4465.67,150.4,343.22,15.6,9045.48,96228,940.0
12-2020,2020,3.4,0.0,445.77,6185.3200000000015,2154.278,72.11,40.50700000000001,0.0,8901.38,94131,946.0
