MonthYear,Year,CellPhone,Cocaine,Hash,Heroin,Marijuana,Methamphetamine,Tobacco,Butane_Oil,Suboxone,Fentanyl,Total,Population,Rate
01-2018,2018,710,3,2,99,141,88,71,0,0,0,1114,119828,93.0
02-2018,2018,614,1,1,91,105,104,70,2,0,0,988,119760,82.0
03-2018,2018,727,3,3,110,157,111,85,12,0,0,1208,120263,100.0
04-2018,2018,632,2,1,92,148,108,83,8,0,0,1074,120119,89.0
05-2018,2018,662,0,3,120,161,114,56,6,0,0,1122,120720,93.0
06-2018,2018,627,1,0,115,151,103,93,5,0,0,1095,121087,90.0
07-2018,2018,534,1,0,106,135,116,52,8,0,0,952,121441,78.0
08-2018,2018,549,1,1,123,141,91,49,27,0,0,982,121794,81.0
09-2018,2018,531,2,1,117,113,115,61,7,0,0,947,121601,78.0
10-2018,2018,700,3,0,91,122,93,84,7,0,0,1100,121248,91.0
11-2018,2018,596,1,1,112,153,106,55,12,0,0,1036,120853,86.0
12-2018,2018,574,0,0,115,156,95,62,10,0,0,1012,120433,84.0
01-2019,2019,697,7,1,119,168,95,84,4,7,0,1182,119704,99.0
02-2019,2019,561,0,1,95,108,80,46,18,0,0,909,119582,76.0
03-2019,2019,638,4,0,103,120,90,53,11,0,2,1021,119974,85.0
04-2019,2019,605,2,1,124,117,105,71,14,0,1,1040,120353,86.0
05-2019,2019,616,1,1,144,142,119,62,11,22,3,1121,120036,93.0
06-2019,2019,640,2,2,119,119,103,55,4,41,1,1086,120123,90.0
07-2019,2019,574,3,6,135,118,98,49,18,28,0,1029,120093,86.0
08-2019,2019,584,2,2,139,118,123,67,25,36,3,1099,119977,92.0
09-2019,2019,690,0,1,121,137,122,74,12,22,1,1180,120204,98.0
10-2019,2019,572,4,0,136,106,113,36,17,45,7,1036,120227,86.0
11-2019,2019,555,0,1,95,111,87,31,16,19,3,918,119880,77.0
12-2019,2019,481,8,9,92,126,81,63,8,33,2,903,119572,76.0
01-2020,2020,594,1,2,102,116,78,63,15,40,1,1012,119594,85.0
02-2020,2020,507,0,1,139,97,79,39,19,35,2,918,119457,77.0
03-2020,2020,617,1,4,90,92,79,52,14,29,2,980,118956,82.0
04-2020,2020,527,3,8,124,82,109,62,20,76,2,1013,114654,88.0
05-2020,2020,603,2,6,121,83,102,43,12,85,2,1059,113273,93.0
06-2020,2020,467,5,3,105,87,96,48,15,109,2,937,110553,85.0
07-2020,2020,477,5,2,81,59,99,27,5,65,2,822,103615,79.0
08-2020,2020,430,5,1,65,68,104,37,9,51,0,770,99501,77.0
09-2020,2020,606,5,2,69,89,112,29,14,46,0,972,96816,100.0
10-2020,2020,539,3,6,73,71,174,40,14,43,0,963,96421,100.0
11-2020,2020,438,2,2,62,75,116,27,3,37,2,764,96228,79.0
12-2020,2020,314,1,0,40,66,92,32,3,25,0,573,94131,61.0
