MonthYear,Year,Cocaine,CommercialAlcohol,Fentanyl/Oxycodone,Fentanyl/Oxycodone(Gram),Heroin,HomemadeAlcohol,HomemadeAlcohol(Ounces),K2,K2(Gram),Marijuana,Methadrone(Gram),Meth(Gram),NarcoticPills,Prescription_Meds,Suboxone,Suboxone(Gram),Suboxone(Ounces),Ammunition,Club,Gun,Razor_Weapon,Shank_Weapon,TotalDrugs(Grams),TotalDrugs(Pills),Total_Alcohol(Ounces),TotalWeapons,Pop,Rate_Drugs(Grams),Rate_Drugs(Pills),Rate_Alcohol(Ounces),Rate_Weapons
01-2018,2018,42.45,489.4,0.0,5.2,29.3,0.0,26654.8,0.0,2990.43,597.86,0.5,254.01,157.2,31.0,210.0,0.0,0.0,223.0,6.0,14.0,26.0,954.0,3919.75,398.2,27144.2,1223.0,96064,408.0,41.0,2826.0,127.0
02-2018,2018,67.92,218.3,0.0,1.01,14.0,0.0,16898.5,0.0,2260.46,687.99,3.3,187.89,222.0,76.0,189.5,0.0,0.0,292.0,4.0,10.0,26.0,817.0,3222.57,487.5,17116.8,1149.0,96101,335.0,51.0,1781.0,120.0
03-2018,2018,159.33,164.76,0.0,894.11,8.93,0.0,19708.0,0.0,2346.8,1341.69,3.08,685.81,307.75,49.0,362.0,0.0,0.0,252.0,3.0,11.0,11.0,866.0,5439.75,718.75,19872.76,1143.0,96163,566.0,75.0,2067.0,119.0
04-2018,2018,290.38,733.6,0.0,3.0,11.13,0.0,14096.0,0.0,2361.97,517.67,31.45,240.22,130.0,206.0,172.0,0.0,0.0,49.0,3.0,6.0,17.0,790.03,3455.8199999999993,508.0,14829.6,865.03,96081,360.0,53.0,1543.0,90.0
05-2018,2018,245.84,46.48,0.0,2.0,8.8,0.0,16637.0,0.0,3004.44,1307.0,24.5,220.5,86.0,108.0,162.0,0.0,0.0,112.0,1.0,1.0,73.0,910.0,4813.08,356.0,16683.48,1097.0,96196,500.0,37.0,1734.0,114.0
06-2018,2018,205.51,137.2,0.0,0.0,34.2,0.0,29665.2,0.0,1912.08,632.21,177.2,714.4,124.0,606.0,182.0,0.0,0.0,50.0,0.0,3.0,21.0,1409.0,3675.6,912.0,29802.4,1483.0,96256,382.0,95.0,3096.0,154.0
07-2018,2018,326.42,351.24,0.0,5.03,11.1,0.0,17097.21,0.0,1659.43,543.09,22.5,333.05,150.0,87.0,102.25,0.0,0.0,24.0,1.0,2.0,24.0,934.06,2900.620000000001,339.25,17448.45,985.06,96273,301.0,35.0,1812.0,102.0
08-2018,2018,487.52,259.55,0.0,47.3,55.63,0.0,29991.69,0.0,2564.54,973.87,11.2,479.47,155.5,15.0,340.5,0.0,0.0,111.0,2.0,6.0,19.0,1159.01,4619.53,511.0,30251.24,1297.01,96298,480.0,53.0,3141.0,135.0
09-2018,2018,130.28,132.6,3.0,6.5,13.41,0.0,15828.0,0.0,1746.7,799.53,27.2,542.07,554.01,108.0,170.0,0.0,0.0,135.0,2.0,4.0,15.0,858.0,3265.69,835.01,15960.6,1014.0,96145,340.0,87.0,1660.0,105.0
10-2018,2018,371.68,73.6,0.0,112.3,6.44,0.0,21287.0,0.0,1696.02,617.75,0.0,639.18,194.0,1.0,297.0,3.0,0.0,23.0,0.0,0.0,14.0,918.01,3446.37,492.0,21360.6,955.01,95612,360.0,51.0,2234.0,100.0
11-2018,2018,285.45,206.0,0.0,4.8,17.2,0.0,26899.43,0.0,871.55,1258.69,0.0,570.17,121.5,22.5,191.0,1.7,0.0,34.0,2.0,4.0,13.0,779.1,3009.56,335.0,27105.43,832.1,96020,313.0,35.0,2823.0,87.0
12-2018,2018,181.97,219.4,0.0,1.3,33.31,0.0,30634.06,0.0,1194.19,1362.31,0.0,636.51,30.04,27.0,67.0,1.71,0.0,86.0,8.0,5.0,12.0,752.0,3411.3,124.04,30853.460000000006,863.0,95693,356.0,13.0,3224.0,90.0
01-2019,2019,228.21,417.8,0.0,9.89,28.84,0.0,40607.09,0.0,1874.92,1510.1,24.94,775.71,413.0,282.01,189.0,18.77,0.0,320.0,0.0,9.0,24.0,1040.0,4471.380000000001,884.01,41024.89,1393.0,95721,467.0,92.0,4286.0,146.0
02-2019,2019,103.08,648.89,0.0,52.66,119.6,0.0,28285.9,0.0,1755.95,1005.91,6.9,432.71,93.0,153.0,299.0,10.0,0.0,190.0,1.0,9.0,9.0,859.0,3486.81,545.0,28934.79,1068.0,95675,364.0,57.0,3024.0,112.0
03-2019,2019,176.92,13.62,0.0,36.6,107.21,0.0,22571.4,0.0,1742.35,1292.64,34.4,509.76,138.33,74.0,200.51,5.2,0.0,110.0,1.0,9.0,14.0,886.0,3905.08,412.84,22585.02,1020.0,95757,408.0,43.0,2359.0,107.0
04-2019,2019,260.05,1838.0,0.0,11.01,22.0,0.0,43024.0,0.0,1788.05,1478.36,51.56,788.41,83.0,37.0,262.75,2.1,0.0,17.0,3.0,2.0,14.0,892.0,4401.540000000001,382.75,44862.0,928.0,95828,459.0,40.0,4682.0,97.0
05-2019,2019,423.54,12.0,0.0,60.8,54.25,0.0,35435.84,0.0,1232.24,1011.74,3.9,513.59,92.0,76.5,461.08,14.2,0.0,38.0,1.0,0.0,24.0,676.0,3314.26,629.5799999999998,35447.84,739.0,95781,346.0,66.0,3701.0,77.0
06-2019,2019,467.66,106.96,0.0,3.5,5.47,0.0,25271.0,0.0,1528.06,595.16,4.0,657.81,875.63,22.0,454.7,0.0,0.0,3.0,5.0,1.0,20.0,634.05,3261.66,1352.33,25377.96,663.05,95626,341.0,141.0,2654.0,69.0
07-2019,2019,141.6,80.0,0.0,65.4,5.0,0.0,26279.5,0.0,1585.64,841.01,0.5,1094.86,153.0,39.0,458.0,0.96,0.0,2.0,6.0,0.0,23.0,885.0,3734.97,650.0,26359.5,916.0,95526,391.0,68.0,2759.0,96.0
08-2019,2019,95.4,268.68,0.0,29.25,136.33,0.0,27048.5,0.0,1821.18,1010.18,0.0,590.77,251.5,17.0,669.05,1.01,0.0,161.0,0.0,0.0,12.0,685.0,3684.12,937.55,27317.18,858.0,95021,388.0,99.0,2875.0,90.0
09-2019,2019,90.52,52.7,0.0,52.95,13.57,0.0,24579.56,0.0,1505.3,966.54,5.0,782.98,869.0,21.0,340.06,2.0,0.0,5.0,0.0,0.0,34.0,942.0,3418.86,1230.06,24632.26,981.0,94973,360.0,130.0,2594.0,103.0
10-2019,2019,66.49,172.2,0.0,93.49,133.62,0.0,23602.85,0.0,2480.22,1284.33,15.63,1207.28,198.9,66.05,534.0,6.97,0.0,1.0,5.0,2.0,32.0,743.0,5288.03,798.95,23775.05,783.0,95098,556.0,84.0,2500.0,82.0
11-2019,2019,193.45,67.6,0.0,20.27,19.47,0.0,20387.42,0.0,1175.59,1188.43,10.0,695.58,92.4,8.0,314.1,11.1,0.0,33.0,2.0,0.0,26.0,560.0,3313.89,414.5,20455.02,621.0,94706,350.0,44.0,2160.0,66.0
12-2019,2019,140.3,1847.8,0.0,60.31,334.4,0.0,27847.0,0.0,1596.61,1114.39,53.0,865.74,85.0,32.1,695.26,36.46,0.0,0.0,1.0,1.0,11.0,521.02,4201.21,812.36,29694.8,534.02,94195,446.0,86.0,3152.0,57.0
01-2020,2020,250.63,18.5,0.0,3.9,32.66,0.0,18068.01,0.0,2805.19,1572.64,0.0,1003.17,897.5,350.8,577.75,6.42,0.0,2.0,2.0,0.0,84.0,652.0,5674.6100000000015,1826.05,18086.51,740.0,93941,604.0,194.0,1925.0,79.0
02-2020,2020,402.5,68.0,0.0,33.99,93.2,0.0,18669.3,0.0,2119.54,1578.93,65.38,1433.8,283.05,190.0,556.0,7.43,0.0,3.0,2.0,1.0,20.0,562.0,5734.77,1029.05,18737.3,588.0,93870,611.0,110.0,1996.0,63.0
03-2020,2020,251.1,1560.69,0.0,30.47,3.6,0.0,26532.09,0.0,1581.0,885.01,0.0,1060.02,56.0,240.5,399.5,16.19,0.0,194.0,1.0,9.0,15.0,534.0,3827.39,696.0,28092.78,753.0,92876,412.0,75.0,3025.0,81.0
04-2020,2020,421.98,22.0,0.0,3.43,0.01,0.0,13618.6,0.0,1640.01,1123.01,0.0,952.65,171.1,52.0,1099.38,132.49,0.0,72.0,0.0,4.0,21.0,473.0,4273.579999999999,1322.48,13640.6,570.0,91131,469.0,145.0,1497.0,63.0
05-2020,2020,71.2,12.0,0.0,17.87,51.0,0.0,31264.45,0.0,1040.94,695.02,9.51,645.75,32.0,92.0,1013.56,111.41,0.0,131.0,1.0,5.0,16.0,548.0,2642.7,1137.56,31276.45,701.0,89196,296.0,128.0,3506.0,79.0
06-2020,2020,49.8,33.12,0.0,44.7,12.81,0.0,32273.9,1.0,1681.79,833.41,1.8,1620.3,106.4,10.0,1434.04,7.6,0.0,70.0,1.0,3.0,4.0,529.5,4252.21,1551.44,32307.02,607.5,87737,485.0,177.0,3682.0,69.0
07-2020,2020,174.01,108.7,0.0,108.9,485.0,0.0,15079.25,0.0,1796.16,882.95,1.0,899.89,228.0,81.0,1193.0,1.51,0.0,17.0,1.0,1.0,9.0,512.0,4349.420000000001,1502.0,15187.95,540.0,85835,507.0,175.0,1769.0,63.0
08-2020,2020,65.54,8.0,0.0,1.0,273.0,0.0,14625.15,0.0,1126.03,898.31,63.08,786.02,26.0,62.5,1234.02,3.0,0.2,154.0,1.0,6.0,5.0,361.0,3215.98,1322.52,14633.35,527.0,84610,380.0,156.0,1730.0,62.0
09-2020,2020,265.73,781.1,0.0,12.1,150.3,0.0,18625.0,0.0,1682.93,2027.86,91.85,1090.2,91.0,235.0,982.25,8.0,0.0,169.0,0.0,6.0,12.0,505.08,5328.97,1308.25,19406.1,692.0799999999998,82918,643.0,158.0,2340.0,83.0
10-2020,2020,346.8,680.87,0.0,7.09,17.18,2.0,22492.8,0.0,1469.4,3420.6,0.5,1437.41,21.0,25.0,1313.09,22.56,0.0,187.0,2.0,7.0,21.0,568.05,6721.54,1359.09,23173.67,785.05,82029,819.0,166.0,2825.0,96.0
11-2020,2020,241.31,1744.6,0.0,0.0,11.57,0.0,24647.0,0.0,2382.71,1961.69,4.0,2579.37,239.0,60.0,1208.11,9.28,2.0,35.0,0.0,5.0,29.0,503.0,7189.93,1507.11,26393.6,572.0,80690,891.0,187.0,3271.0,71.0
12-2020,2020,119.08,278.0,0.0,78.92,534.86,0.0,30378.0,0.0,2163.35,1711.23,151.84,2464.98,171.0,23.0,1145.25,0.04,2.0,11.0,2.0,2.0,8.0,592.0,7224.3,1339.25,30658.0,615.0,79525,908.0,168.0,3855.0,77.0
