MonthYear,Year,Population
01-2018,2018,119828
02-2018,2018,119760
03-2018,2018,120263
04-2018,2018,120119
05-2018,2018,120720
06-2018,2018,121087
07-2018,2018,121441
08-2018,2018,121794
09-2018,2018,121601
10-2018,2018,121248
11-2018,2018,120853
12-2018,2018,120433
01-2019,2019,119704
02-2019,2019,119582
03-2019,2019,119974
04-2019,2019,120353
05-2019,2019,120036
06-2019,2019,120123
07-2019,2019,120093
08-2019,2019,119977
09-2019,2019,120204
10-2019,2019,120227
11-2019,2019,119880
12-2019,2019,119572
01-2020,2020,119594
02-2020,2020,119457
03-2020,2020,118956
04-2020,2020,114654
05-2020,2020,113273
06-2020,2020,110553
07-2020,2020,103615
08-2020,2020,99501
09-2020,2020,96816
10-2020,2020,96421
11-2020,2020,96228
12-2020,2020,94131
